state,office,updated_at,eevp,place,level,candidate_id,party,votes_total
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Fairfield,township,murphy-c,Democrat,21180
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Fairfield,township,corey-m,Republican,12540
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Fairfield,township,paglino-j,Green,262
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Fairfield,township,finley_hyde-r,Independent,197
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Greenwich,township,murphy-c,Democrat,18817
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Greenwich,township,corey-m,Republican,14650
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Greenwich,township,paglino-j,Green,144
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Greenwich,township,finley_hyde-r,Independent,122
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Waterbury,township,murphy-c,Democrat,18397
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Waterbury,township,corey-m,Republican,12078
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Waterbury,township,finley_hyde-r,Independent,430
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Waterbury,township,paglino-j,Green,249
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Wallingford,township,murphy-c,Democrat,16277
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Wallingford,township,corey-m,Republican,13266
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Wallingford,township,paglino-j,Green,283
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Wallingford,township,finley_hyde-r,Independent,255
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Milford,township,murphy-c,Democrat,16585
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Milford,township,corey-m,Republican,12827
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Milford,township,paglino-j,Green,236
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Milford,township,finley_hyde-r,Independent,218
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Danbury,township,murphy-c,Democrat,16901
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Danbury,township,corey-m,Republican,12258
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Danbury,township,finley_hyde-r,Independent,280
Connecticut,U.S. Senate,2024-11-08T19:59:31.480Z,99,Danbury,township,paglino-j,Green,215
